Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,312952,-,-,-,33.45,-111.94,-7,378,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Precipitable Water,Wind Direction,Wind Speed
2009,3,28,19,0,0,0,0,-11.438879394531227,16.506646728515648,949.0211791992188,13.650129318237305,5.534592151641846,241.89112854003906,1.8448765277862549
2009,3,28,19,30,0,0,0,-11.229772949218727,16.091180419921898,949.124267578125,14.251960754394531,5.5565266609191895,241.89112854003906,1.5525524616241455
2009,3,28,20,0,0,0,0,-11.023626708984352,15.675744628906273,949.2274169921875,14.87759780883789,5.578461647033691,249.93063354492188,1.2602282762527466
2009,3,28,20,30,0,0,0,-11.181463623046852,15.327264404296898,949.4190673828125,15.02358341217041,5.582564830780029,249.93063354492188,1.0132440328598022
2009,3,28,21,0,0,0,0,-11.341345214843727,14.978784179687523,949.6107788085938,15.16916275024414,5.586667537689209,269.06219482421875,0.7662598490715027
2009,3,28,21,30,0,0,0,-10.858221435546852,14.649499511718773,949.4705810546875,16.10207748413086,5.588522434234619,269.06219482421875,0.6427481174468994
2009,3,28,22,0,0,0,0,-10.390936279296852,14.320214843750023,949.3303833007812,17.069135665893555,5.590376853942871,306.07891845703125,0.5192363262176514
2009,3,28,22,30,0,0,0,-10.834631347656227,14.005242919921898,949.1535034179688,16.81859588623047,5.6076178550720215,306.07891845703125,0.5115742087364197
2009,3,28,23,0,0,0,0,-11.292822265624977,13.690240478515648,948.9766235351562,16.551210403442383,5.62485933303833,347.321533203125,0.503912091255188
2009,3,28,23,30,0,0,0,-10.994604492187477,13.384820556640648,948.845458984375,17.2893009185791,5.659942150115967,347.321533203125,0.5351105332374573
