Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,312952,-,-,-,33.45,-111.94,-7,378,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Precipitable Water,Wind Direction,Wind Speed
2005,2,2,2,0,0,0,0,-1.9133361816406023,5.061914062500023,958.6978149414062,60.686553955078125,6.562150001525879,46.555912017822266,4.51021146774292
2005,2,2,2,30,0,0,0,-2.1200012207031023,4.893457031250023,958.4140014648438,60.47395324707031,6.546460151672363,46.555912017822266,4.516495704650879
2005,2,2,3,0,0,0,0,-2.3294128417968523,4.725030517578148,958.1301879882812,60.24917221069336,6.530770778656006,45.01555633544922,4.522780418395996
2005,2,2,3,30,0,0,0,-2.5072387695312273,4.624414062500023,958.106201171875,59.88085174560547,6.561396598815918,45.01555633544922,4.5482683181762695
2005,2,2,4,0,0,0,0,-2.6871704101562273,4.523797607421898,958.0821533203125,59.50469970703125,6.59202241897583,44.45895004272461,4.573756694793701
2005,2,2,4,30,0,0,0,-2.8257507324218523,4.440911865234398,958.3232421875,59.23827362060547,6.693367958068848,44.45895004272461,4.589592933654785
2005,2,2,5,0,0,0,0,-2.9657043457031023,4.357995605468773,958.5642700195312,58.96675491333008,6.794713497161865,45.49509048461914,4.605429172515869
2005,2,2,5,30,0,0,0,-3.0668701171874773,4.279016113281273,958.7833862304688,58.849369049072266,6.9153265953063965,45.49509048461914,4.6205973625183105
2005,2,2,6,0,0,0,0,-3.1687683105468523,4.200006103515648,959.0025024414062,58.72896957397461,7.0359392166137695,48.12700653076172,4.635765552520752
2005,2,2,6,30,0,0,0,-3.1649536132812273,4.407037353515648,959.3729248046875,57.90019226074219,7.1428399085998535,48.12700653076172,4.6460723876953125
2005,2,2,7,0,0,0,0,-3.1611694335937273,4.614068603515648,959.7432861328125,57.08440399169922,7.249740123748779,51.82179260253906,4.656379699707031
2005,2,2,7,30,0,0,0,-2.9628662109374773,5.850762939453148,960.093505859375,53.16164016723633,7.34028434753418,51.82179260253906,4.5151472091674805
2005,2,2,8,0,32,484,85,-2.7678588867187273,7.087457275390648,960.4437866210938,49.53718948364258,7.43082857131958,56.272953033447266,4.37391471862793
2005,2,2,8,30,46,667,184,-2.5288452148437273,9.129083251953148,960.777099609375,43.894500732421875,7.524083137512207,56.272953033447266,4.207611560821533
2005,2,2,9,0,56,774,286,-2.2961791992187273,11.170678710937523,961.1104736328125,38.9616584777832,7.617337703704834,64.58683776855469,4.041308403015137
2005,2,2,9,30,64,843,383,-2.5322631835937273,13.117150878906273,961.2293701171875,33.68557357788086,7.725823402404785,64.58683776855469,4.211786270141602
2005,2,2,10,0,69,890,471,-2.7740234374999773,15.063592529296898,961.3483276367188,29.167011260986328,7.8343095779418945,80.78397369384766,4.382263660430908
2005,2,2,10,30,74,923,548,-2.9270080566406023,16.100579833984398,961.05126953125,26.984600067138672,7.906943321228027,80.78397369384766,4.373875141143799
2005,2,2,11,0,77,946,612,-3.0820678710937273,17.137597656250023,960.7542724609375,24.974437713623047,7.979577541351318,90.04141235351562,4.3654866218566895
2005,2,2,11,30,79,963,660,-3.0514892578124773,17.674188232421898,960.086669921875,24.197298049926758,7.865082740783691,90.04141235351562,4.118202209472656
2005,2,2,12,0,81,973,693,-3.0213684082031023,18.210809326171898,959.4190673828125,23.446754455566406,7.7505879402160645,91.82810974121094,3.870917558670044
2005,2,2,12,30,82,979,709,-3.1589721679687273,18.446740722656273,959.0302124023438,22.86717987060547,7.621891021728516,91.82810974121094,3.6426522731781006
2005,2,2,13,0,81,979,708,-3.2976745605468523,18.682702636718773,958.641357421875,22.30033302307129,7.493194103240967,89.85515594482422,3.4143869876861572
2005,2,2,13,30,81,973,688,-3.5297607421874773,18.565850830078148,958.2958984375,22.0783748626709,7.540385723114014,89.85515594482422,3.2729640007019043
2005,2,2,14,0,79,962,652,-3.7653564453124773,18.449029541015648,957.9503784179688,21.852237701416016,7.587576866149902,88.88439178466797,3.1315412521362305
2005,2,2,14,30,76,944,600,-3.9514831542968523,18.014825439453148,958.00537109375,22.145038604736328,7.720277786254883,88.88439178466797,3.0749292373657227
2005,2,2,15,0,73,917,532,-4.140325927734352,17.580621337890648,958.060302734375,22.43874168395996,7.852978229522705,87.88426971435547,3.018317222595215
2005,2,2,15,30,68,881,452,-3.6880554199218523,16.776391601562523,958.082763671875,24.42352294921875,8.006156921386719,87.88426971435547,2.8123388290405273
2005,2,2,16,0,62,828,361,-3.2486633300781023,15.972192382812523,958.105224609375,26.563289642333984,8.159334182739258,92.31248474121094,2.606360673904419
2005,2,2,16,30,54,751,262,-1.2906249999999773,14.448724365234398,958.4188232421875,33.854312896728516,8.256796836853027,92.31248474121094,2.3681023120880127
2005,2,2,17,0,43,630,161,0.45162353515627274,12.925256347656273,958.732421875,42.43048858642578,8.35425853729248,101.30376434326172,2.1298439502716064
2005,2,2,17,30,27,420,64,0.32177124023439774,12.255151367187523,959.0120239257812,43.92159652709961,8.372875213623047,101.30376434326172,2.1494147777557373
2005,2,2,18,0,0,0,0,0.19030151367189774,11.585046386718773,959.2916259765625,45.469818115234375,8.391490936279297,101.73397064208984,2.168985605239868
2005,2,2,18,30,0,0,0,-0.03964843749997726,11.155358886718773,959.4498291015625,46.00831985473633,8.2931489944458,101.73397064208984,2.2962543964385986
2005,2,2,19,0,0,0,0,-0.27335205078122726,10.725701904296898,959.6079711914062,46.543338775634766,8.194807052612305,96.75485229492188,2.423523187637329
2005,2,2,19,30,0,0,0,-0.5454467773437273,10.318078613281273,959.7611083984375,46.88706588745117,7.9932966232299805,96.75485229492188,2.647378444671631
2005,2,2,20,0,0,0,0,-0.8227600097656023,9.910455322265648,959.9141845703125,47.21746826171875,7.791785717010498,88.63658142089844,2.8712337017059326
2005,2,2,20,30,0,0,0,-1.0213684082031023,9.493096923828148,959.9920043945312,47.858055114746094,7.594371795654297,88.63658142089844,3.1003148555755615
2005,2,2,21,0,0,0,0,-1.2227844238281023,9.075738525390648,960.06982421875,48.500640869140625,7.3969573974609375,82.59805297851562,3.3293960094451904
2005,2,2,21,30,0,0,0,-1.3614562988281023,8.621270751953148,960.1533203125,49.506107330322266,7.22327995300293,82.59805297851562,3.5324387550354004
2005,2,2,22,0,0,0,0,-1.5015930175781023,8.166833496093773,960.2368774414062,50.5318717956543,7.049602508544922,78.9175033569336,3.7354817390441895
2005,2,2,22,30,0,0,0,-1.5774902343749773,7.704034423828148,960.283203125,51.857669830322266,6.911322593688965,78.9175033569336,3.9178779125213623
2005,2,2,23,0,0,0,0,-1.6539062499999773,7.241204833984398,960.3295288085938,53.222293853759766,6.77304220199585,76.23207092285156,4.100274085998535
2005,2,2,23,30,0,0,0,-1.7517761230468523,6.817285156250023,960.4930419921875,54.397464752197266,6.611692905426025,76.23207092285156,4.2557172775268555
2005,2,3,0,0,0,0,0,-1.8504394531249773,6.393334960937523,960.6565551757812,55.60063171386719,6.450343608856201,73.03155517578125,4.411159992218018
2005,2,3,0,30,0,0,0,-2.0507873535156023,6.057702636718773,960.680419921875,56.06818771362305,6.2336745262146,73.03155517578125,4.556622505187988
2005,2,3,1,0,0,0,0,-2.2539123535156023,5.722039794921898,960.7042846679688,56.530338287353516,6.01700496673584,69.70433044433594,4.702084541320801
2005,2,3,1,30,0,0,0,-2.5180725097656023,5.537835693359398,960.55419921875,56.14841079711914,5.912416458129883,69.70433044433594,4.835028648376465
2005,2,3,2,0,0,0,0,-2.7868713378906023,5.353601074218773,960.404052734375,55.74873733520508,5.807827949523926,67.72506713867188,4.967972755432129
2005,2,3,2,30,0,0,0,-3.0385498046874773,5.303521728515648,960.156982421875,54.90677261352539,5.9928975105285645,67.72506713867188,5.074901103973389
2005,2,3,3,0,0,0,0,-3.2942871093749773,5.253411865234398,959.9099731445312,54.0590705871582,6.177967071533203,67.83009338378906,5.181829452514648
2005,2,3,3,30,0,0,0,-3.4845947265624773,5.305841064453148,959.9288940429688,53.10343551635742,6.522527694702148,67.83009338378906,5.26171875
2005,2,3,4,0,0,0,0,-3.6773132324218523,5.358270263671898,959.9478149414062,52.15419387817383,6.867088317871094,69.70654296875,5.34160852432251
2005,2,3,4,30,0,0,0,-3.7800659179687273,5.498803710937523,959.929931640625,51.25273513793945,7.182346343994141,69.70654296875,5.3996405601501465
2005,2,3,5,0,0,0,0,-3.8834899902343523,5.639367675781273,959.912109375,50.3643798828125,7.497603893280029,72.19428253173828,5.457672595977783
2005,2,3,5,30,0,0,0,-3.9161132812499773,5.761468505859398,960.0878295898438,49.818477630615234,7.69036340713501,72.19428253173828,5.485406398773193
