Module No.,Isc,Voc,Im,Vm,FF,Pm
1198,7.3,20.6,5.4,16.6,68.97457159,106.25
1689,7.3,20.6,5.4,16.6,68.97457159,106.25
1692,7.3,20.6,5.4,16.6,68.97457159,106.25
1693,7.3,20.6,5.4,16.6,68.97457159,106.25
1712,7.3,20.6,5.4,16.6,68.97457159,106.25
1713,7.3,20.6,5.4,16.6,68.97457159,106.25
1739,7.3,20.6,5.4,16.6,68.97457159,106.25
1740,7.3,20.6,5.4,16.6,68.97457159,106.25
1741,7.3,20.6,5.4,16.6,68.97457159,106.25
11201,7.3,20.6,5.4,16.6,68.97457159,106.25
